what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1305891687336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305891687691
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305891688292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891688810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891693782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305891704764
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305891705960
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305891706067
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305891706313
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1305891706892
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1305891707180
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1305891707427
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1305891707715
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1305891707947
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305891709225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891709765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891713903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305891715698
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305891716009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891716542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891718804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305891719844
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305891720068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891724494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891727840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305891730502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305891730601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305891731153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305891731273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891739700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891741998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891751230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891755378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891847500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305891848068
