what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720520589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720524014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720526733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720528821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720529940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720531259
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1301720535358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301720535799
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301720536891
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301720538448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720539197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720541090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720550328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720551854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301720554361
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1301720562994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1301720563186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301720565649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720566528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720567686
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301720568391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720568682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720569529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720579607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720582767
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301720582780
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301720583859
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301720593307
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301720600991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720607680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720678445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720681437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720691158
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301720693836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720695480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720696583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720697404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301720700843
